"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"416";"k__Fungi";"p__Basidiomycota";"c__Malasseziomycetes";"o__Malasseziales";"f__Malasseziaceae";"g__Malassezia";"s__restricta"
"417";"k__Fungi";NA;NA;NA;NA;NA;NA
"418";"k__Fungi";"p__Ascomycota";"c__Leotiomycetes";"o__Helotiales";"f__Helotiaceae";"g__Tetracladium";NA
"419";"k__Fungi";NA;NA;NA;NA;NA;NA
"420";"k__Fungi";NA;NA;NA;NA;NA;NA
"421";"k__Fungi";NA;NA;NA;NA;NA;NA
"422";"k__Fungi";NA;NA;NA;NA;NA;NA
"423";"k__Fungi";NA;NA;NA;NA;NA;NA
"424";"k__Fungi";NA;NA;NA;NA;NA;NA
"425";"k__Fungi";NA;NA;NA;NA;NA;NA
"426";"k__Fungi";NA;NA;NA;NA;NA;NA
"427";"k__Fungi";"p__Basidiomycota";"c__Tremellomycetes";"o__Tremellales";"f__Tremellaceae";NA;NA
"428";"k__Fungi";"p__Ascomycota";NA;NA;NA;NA;NA
"429";"k__Fungi";NA;NA;NA;NA;NA;NA
"430";"k__Fungi";NA;NA;NA;NA;NA;NA
"431";"k__Fungi";NA;NA;NA;NA;NA;NA
"432";"k__Fungi";NA;NA;NA;NA;NA;NA
"433";"k__Fungi";NA;NA;NA;NA;NA;NA
"434";"k__Fungi";NA;NA;NA;NA;NA;NA
"435";"k__Fungi";NA;NA;NA;NA;NA;NA
"436";"k__Fungi";"p__Mortierellomycota";"c__Mortierellomycetes";"o__Mortierellales";"f__Mortierellaceae";"g__Mortierella";"s__elongata"
"437";"k__Fungi";NA;NA;NA;NA;NA;NA
"438";"k__Fungi";NA;NA;NA;NA;NA;NA
"439";"k__Fungi";NA;NA;NA;NA;NA;NA
"440";"k__Fungi";NA;NA;NA;NA;NA;NA
"441";"k__Fungi";NA;NA;NA;NA;NA;NA
"442";"k__Fungi";NA;NA;NA;NA;NA;NA
"443";"k__Fungi";NA;NA;NA;NA;NA;NA
"444";"k__Fungi";"p__Ascomycota";"c__Dothideomycetes";"o__Pleosporales";"f__Pleosporaceae";"g__Alternaria";NA
"445";"k__Fungi";NA;NA;NA;NA;NA;NA
"446";"k__Fungi";NA;NA;NA;NA;NA;NA
"447";"k__Fungi";NA;NA;NA;NA;NA;NA
"448";"k__Fungi";NA;NA;NA;NA;NA;NA
"449";"k__Fungi";NA;NA;NA;NA;NA;NA
