"";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"235";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Burkholderia-Caballeronia-Paraburkholderia"
"236";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Moraxellaceae";"Acinetobacter"
"237";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Enterobacteriales";"Enterobacteriaceae";"Citrobacter"
"238";"Bacteria";"Proteobacteria";"Gammaproteobacteria";NA;NA;NA
"239";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus"
"240";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Massilia"
"241";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Diaphorobacter"
"242";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"243";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Betaproteobacteriales";"Burkholderiaceae";"Comamonas"
"244";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus"
"245";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Aeribacillus"
"246";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Staphylococcaceae";"Staphylococcus"
"247";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Melissococcus"
"248";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Ornithinibacillus"
